Platform,Genre,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Game_Count,Cluster
GB,Misc,13.35,6.07,2.15,4.8100000000000005,8,0
GB,Platform,53.88,28.72,9.41,13.84,18,3
GB,Puzzle,47.47,29.349999999999998,5.029999999999999,12.08,15,3
GB,Racing,4.55,2.31,1.06,0.74,2,0
GB,Role-Playing,88.24000000000001,28.71,21.67,34.550000000000004,21,4
GB,Shooter,1.2,0.4,0.39,0.36,1,0
GB,Simulation,3.55,0.0,0.0,3.53,5,0
GB,Sports,9.05,3.64,1.46,3.74,9,0
GB,Strategy,8.05,1.49,0.73,5.73,7,0
GBA,Action,54.26,36.24,14.36,2.2,162,3
GBA,Adventure,12.1,6.93,3.29,1.57,36,0
GBA,Fighting,4.21,2.9,1.07,0.14,23,0
GBA,Misc,28.5,19.080000000000002,7.180000000000001,1.69,86,3
GBA,Platform,78.08,45.65,18.79,11.28,139,3
GBA,Puzzle,12.09,7.14,2.49,2.14,39,0
GBA,Racing,18.8,11.73,5.04,1.5,64,0
GBA,Role-Playing,64.21,28.29,12.87,21.21,73,4
GBA,Shooter,3.6,2.35,0.87,0.32,40,0
GBA,Simulation,5.91,3.6100000000000003,1.43,0.74,18,0
GBA,Sports,16.41,10.3,3.79,1.99,88,0
GBA,Strategy,7.45,4.21,1.31,1.78,18,0
GC,Action,37.25,25.66,7.65,2.83,98,3
GC,Adventure,5.93,3.8200000000000003,1.26,0.6699999999999999,20,0
GC,Fighting,18.43,11.290000000000001,2.91,3.69,42,0
GC,Misc,16.45,9.86,2.56,3.58,35,0
GC,Platform,28.66,20.4,5.95,1.5,73,3
GC,Puzzle,4.57,2.95,0.89,0.6000000000000001,12,0
GC,Racing,21.79,14.84,4.82,1.57,60,0
GC,Role-Playing,13.03,7.8999999999999995,2.44,2.36,25,0
GC,Shooter,13.63,10.01,2.9,0.37,48,0
GC,Simulation,8.59,5.37,1.74,1.21,12,0
GC,Sports,24.49,17.61,4.58,1.6300000000000001,106,3
